net,length_um
_02_,59.96
net5,53.38
net6,52.12
net7,48.44
net1,41.28
_05_,40.92
_06_,37.14
net9,33.96
net2,31.88
net8,28.94
net10,27.64
net4,27.2
_04_,26.56
net11,26.14
net3,25.28
net12,24.26
net14,23.84
net15,19.98
net13,18.28
a1[7],12.13
net16,11.38
b1[0],10.11
_03_,9.32
_00_,8.8
_01_,8.22
a1[6],7.35
a1[1],6.31
a1[3],6.31
b1[1],6.23
b1[3],6.09
a1[0],5.97
a1[2],5.97
a1[4],5.97
b1[2],5.75
b1[4],5.75
b1[5],5.75
b1[6],5.75
b1[7],5.75
_08_,5.38
a1[5],4.61
_09_,2.96
_07_,2.5
