net,length_um
net11,9.87
net3,9.19
net1,8.85
net34,8.72
net35,8.72
net36,8.72
net37,8.72
net38,8.72
net39,8.72
net40,8.72
net42,8.51
net41,8.51
net7,6.77
net15,6.43
net19,6.43
net23,6.43
net27,6.43
net5,6.43
net9,5.75
net13,5.75
net17,5.75
net21,5.75
net25,5.75
net29,5.75
net12,5.07
net16,5.07
net20,5.07
net24,5.07
net28,5.07
net4,5.07
net8,5.07
net31,4.61
net32,4.61
net33,4.61
net30,4.61
net10,4.39
net14,4.39
net18,4.39
net43,4.39
net22,4.39
net26,4.39
net2,4.39
net6,4.39
